gene_id	gene_description	pathway	topic_ecosystem	category	subcategory	note	reference
K00370	nxrA, nitrite oxidoreductase, alpha subunit [EC:1.7.99.4] [RN:R00798]	nitrite => nitrate	ag	Nitrogen Cycling	Aerobic Nitrate		
K00371	nxrB, nitrite oxidoreductase, beta subunit [EC:1.7.99.4] [RN:R00798]	nitrite => nitrate	ag	Nitrogen Cycling	Aerobic Nitrate		
K07093	phoX, Alkaline phosphatase X		ag	Other Nutrients			Siles et al., ìDistribution of Phosphorus Cycling Genes across Land Uses and Microbial Taxonomic Groups Based on Metagenome and Genome Mining.î
K09474	phoN, Acid phosphatase class A		ag	Other Nutrients			Siles et al., ìDistribution of Phosphorus Cycling Genes across Land Uses and Microbial Taxonomic Groups Based on Metagenome and Genome Mining.î
K03788	aphA, Acid phosphatase class B		ag	Other Nutrients			Siles et al., ìDistribution of Phosphorus Cycling Genes across Land Uses and Microbial Taxonomic Groups Based on Metagenome and Genome Mining.î
K01078	olpA Acid phosphatase class C		ag	Other Nutrients			Siles et al., ìDistribution of Phosphorus Cycling Genes across Land Uses and Microbial Taxonomic Groups Based on Metagenome and Genome Mining.î
K01093	appA, 4-phytase		ag	Other Nutrients			Siles et al., ìDistribution of Phosphorus Cycling Genes across Land Uses and Microbial Taxonomic Groups Based on Metagenome and Genome Mining.î
K01083	3-phytase		ag	Other Nutrients			Siles et al., ìDistribution of Phosphorus Cycling Genes across Land Uses and Microbial Taxonomic Groups Based on Metagenome and Genome Mining.î
K06166	phnG, CñP lyase multienzyme complex		ag	Other Nutrients			Siles et al., ìDistribution of Phosphorus Cycling Genes across Land Uses and Microbial Taxonomic Groups Based on Metagenome and Genome Mining.î
K06165	phnH, CñP lyase multienzyme complex		ag	Other Nutrients			Siles et al., ìDistribution of Phosphorus Cycling Genes across Land Uses and Microbial Taxonomic Groups Based on Metagenome and Genome Mining.î
K06164	phnI, CñP lyase multienzyme complex		ag	Other Nutrients			Siles et al., ìDistribution of Phosphorus Cycling Genes across Land Uses and Microbial Taxonomic Groups Based on Metagenome and Genome Mining.î
K06163	phnJ, CñP lyase multienzyme complex		ag	Other Nutrients			Siles et al., ìDistribution of Phosphorus Cycling Genes across Land Uses and Microbial Taxonomic Groups Based on Metagenome and Genome Mining.î
K05781	phnK, CñP lyase multienzyme complex		ag	Other Nutrients			Siles et al., ìDistribution of Phosphorus Cycling Genes across Land Uses and Microbial Taxonomic Groups Based on Metagenome and Genome Mining.î
K05780	phnL, CñP lyase multienzyme complex		ag	Other Nutrients			Siles et al., ìDistribution of Phosphorus Cycling Genes across Land Uses and Microbial Taxonomic Groups Based on Metagenome and Genome Mining.î
K06162	phnM, CñP lyase multienzyme complex		ag	Other Nutrients			Siles et al., ìDistribution of Phosphorus Cycling Genes across Land Uses and Microbial Taxonomic Groups Based on Metagenome and Genome Mining.î
K04103 	ipdC [EC:4.1.1.74]	Indole-3-pyruvate → IAA	ag	Rhizosphere Transformations	Auxin (IAA)		
K00466   	iaaM [EC:1.13.12.3]	Tryptophan → IAM → IAA	ag	Rhizosphere Transformations	Auxin (IAA)		
K21801 	iaaH [EC:3.5.1.4]	Tryptophan → IAM → IAA	ag	Rhizosphere Transformations	Auxin (IAA)		
K01426	amiE [EC:3.5.1.4]	IAM → IAA	ag	Rhizosphere Transformations	Auxin (IAA)		
K03397	iaaL [EC:6.3.2.20]	Conjugates IAA → IAA-Lys (inactivation)	ag	Rhizosphere Transformations	Auxin (IAA)		
K10760	ipt [EC:2.5.1.112]	Isopentenyl-AMP → cytokinins	ag	Rhizosphere Transformations	Cytokinins		
K00279	ckx [EC:1.5.99.12]	Cytokinin degradation	ag	Rhizosphere Transformations	Cytokinins		
K04121	ks [EC:4.2.3.19]	ent-kaurene synthase (ent-copalyl diphosphate → ent-kaurene; early GA biosynthesis)	ag	Rhizosphere Transformations	Gibberellins		
K20657 	cps/ks [EC:5.5.1.13]	ent-copalyl diphosphate / ent-kaurene synthase (bifunctional)	ag	Rhizosphere Transformations	Gibberellins		
K27636	cps/ks [EC:4.2.3.19]	ent-copalyl diphosphate / ent-kaurene / ent-beyerene synthase	ag	Rhizosphere Transformations	Gibberellins		
K21719 	cyp701A [EC:1.14.14.86]	ent-Kaurene → GA intermediates	ag	Rhizosphere Transformations	Gibberellins		
K04123   	cyp88A [EC:1.14.13.79]	ent-Kaurenoic acid → GA12	ag	Rhizosphere Transformations	Gibberellins		
K01505	acdS [EC:3.5.99.7]	ACC → α-ketobutyrate + NH3	ag	Rhizosphere Transformations	ACC Deaminase		
K21815 	efe [EC:1.13.12.19]	L-arginine → ethylene	ag	Rhizosphere Transformations	AA Derivatives		
K09840	abaA-like [EC:1.13.11.51]	Mevalonate pathway → ABA	ag	Rhizosphere Transformations	AA Derivatives		
K09843	cyp707A-like [EC:1.14.13.93]	ABA → phaseic acid	ag	Rhizosphere Transformations	AA Derivatives		
K01851	pchA [EC:5.4.4.2]	Chorismate → salicylic acid	ag	Rhizosphere Transformations	Phenolics		
K04781	pchB [EC:4.2.99.21]	Chorismate → salicylic acid	ag	Rhizosphere Transformations	Phenolics		
K00480	nahG [EC:1.14.13.1]	Salicylic acid → catechol	ag	Rhizosphere Transformations	Phenolics		
K00454	lox [EC:1.13.11.12]	Linolenic acid → hydroperoxides	ag	Rhizosphere Transformations	AA Derivatives		
K01723 	aos [EC:4.2.1.92]	Hydroperoxides → OPDA	ag	Rhizosphere Transformations	AA Derivatives		
K09591	det2-like [EC:1.3.1.-]	Steroid metabolism → brassinolide-like compounds	ag	Rhizosphere Transformations	AA Derivatives		
K09587 	dwrf [EC:1.14.-.-]	Steroid metabolism → brassinolide-like compounds	ag	Rhizosphere Transformations	AA Derivatives		
K22944  	cyaA [EC:4.6.1.1]	ATP → cAMP (adenylate cyclase)	ag	Rhizosphere Transformations	Nucleotides/Sides		
K01769	gya [EC:4.6.1.2]	GTP → cGMP (guanylate cyclase	ag	Rhizosphere Transformations	Nucleotides/Sides		
K00108	betA; choline dehydrogenase (EC 1.1.99.1)	Glycine betaine biosynthesis from choline	ag	Stressors	Methyl-related Compatible Solutes		
K00130	betB; betaine-aldehyde dehydrogenase (EC 1.2.1.8)	Glycine betaine biosynthesis from betaine-aldehyde	ag	Stressors	Methyl-related Compatible Solutes		
K02000	proV; glycine-betaine/proline transport system ATP-binding protein	Glycine betaine/proline transport	ag	Stressors	Methyl-related Compatible Solutes		
K02001	proW; glycine-betaine/proline transport system permease protein	Glycine betaine/proline transport	ag	Stressors	Methyl-related Compatible Solutes		
K02002	proX; glycine-betaine/proline transport system substrate-binding protein	Glycine betaine/proline transport	ag	Stressors	Methyl-related Compatible Solutes		
K02168	betP; choline/glycine/proline betaine transport protein	Glycine betaine/choline/proline transport	ag	Stressors	Methyl-related Compatible Solutes		
K03451	betT/BCCT; choline/carnitine/betaine/glycine transporter	Choline/betaine transport (BCCT family)	ag	Stressors	Methyl-related Compatible Solutes		
K03607	proQ; ProP effector (proline/betaine regulation)	Regulation of proline/betaine transport (ProP system)	ag	Stressors	Methyl-related Compatible Solutes		
K03762	proP; MFS transporter for proline/betaine	Proline/betaine transport (ProP system)	ag	Stressors	Methyl-related Compatible Solutes		
K05020	opuD; glycine-betaine transporter	Glycine betaine uptake	ag	Stressors	Methyl-related Compatible Solutes		
K05245	caiT; L-carnitine/gamma-butyrobetaine antiporter	L-carnitine transport (osmoprotectant role)	ag	Stressors	Methyl-related Compatible Solutes		
K05845	opuC; osmoprotectant transport system substrate-binding protein	Osmoprotectant transport (OpuC system)	ag	Stressors	Methyl-related Compatible Solutes		
K05846	opuBD; osmoprotectant transport system permease protein	Osmoprotectant transport (OpuC system)	ag	Stressors	Methyl-related Compatible Solutes		
K05847	opuA; osmoprotectant transport system ATP-binding protein	Osmoprotectant transport (OpuC system)	ag	Stressors	Methyl-related Compatible Solutes		
K10036	glnH; glutamine transport system substrate-binding protein	Glutamine transport (osmotic adjustment role)	ag	Stressors	Methyl-related Compatible Solutes		
K10037	glnP; glutamine transport system permease protein	Glutamine transport (osmotic adjustment role)	ag	Stressors	Methyl-related Compatible Solutes		
K10038	glnQ; glutamine transport system ATP-binding protein	Glutamine transport (osmotic adjustment role)	ag	Stressors	Methyl-related Compatible Solutes		
K11440	betA; choline dehydrogenase (alternate)	Glycine betaine biosynthesis from choline	ag	Stressors	Methyl-related Compatible Solutes		
K18896	gsmT; glycine/sarcosine N-methyltransferase	Glycine → sarcosine → dimethylglycine synthesis	ag	Stressors	Methyl-related Compatible Solutes		
K18897	dmt; sarcosine/dimethylglycine N-methyltransferase	Dimethylglycine → betaine synthesis	ag	Stressors	Methyl-related Compatible Solutes		
K00697	otsA (EC 2.4.1.15)	Trehalose biosynthesis	ag	Stressors	Sugar Compatible Solutes (Trehalose)		
K01087	otsB (EC 3.1.3.12)	Trehalose biosynthesis	ag	Stressors	Sugar Compatible Solutes (Trehalose)		
K01236	treZ (EC 3.2.1.141)	Trehalose biosynthesis	ag	Stressors	Sugar Compatible Solutes (Trehalose)		
K06044	treY (EC 5.4.99.15)	Trehalose biosynthesis	ag	Stressors	Sugar Compatible Solutes (Trehalose)		
K05342	treP (EC 2.4.1.64)	Trehalose metabolism	ag	Stressors	Sugar Compatible Solutes (Trehalose)		
K05343	treS (EC 5.4.99.16)	Trehalose metabolism	ag	Stressors	Sugar Compatible Solutes (Trehalose)		
K00009	mtlD (EC 1.1.1.17)	Mannitol biosynthesis	ag	Stressors	Sugar Compatible Solutes (Mannitol)		
K02798	mtlA	Mannitol transport	ag	Stressors	Sugar Compatible Solutes (Mannitol)		
K05947	mpgS (EC 2.4.1.217)	Mannosyl-3-phosphoglycerate biosynthesis	ag	Stressors	Sugar Compatible Solutes (Mannosyl glycerate)		
K17314	treV	Trehalose transport	ag	Stressors	Sugar Compatible Solutes (Trehalose)		
K02781	srlA; sorbitol transporter subunit II A	Sorbitol transport	ag	Stressors	Sugar Compatible Solutes (Sorbitol)		
K02782	srlB; sorbitol transporter subunit II B	Sorbitol transport	ag	Stressors	Sugar Compatible Solutes (Sorbitol)		
K02783	srlE; sorbitol transporter subunit II E	Sorbitol transport	ag	Stressors	Sugar Compatible Solutes (Sorbitol)		
K10109	malF; maltose transport system permease protein	Maltose transport	ag	Stressors	Sugar Compatible Solutes (Maltose)		
K10110	malG; maltose transport system permease protein	Maltose transport	ag	Stressors	Sugar Compatible Solutes (Maltose)		
K10111	malK; maltose/maltodextrin transport system ATP-binding protein	Maltose transport	ag	Stressors	Sugar Compatible Solutes (Maltose)		
K10227	smoE; sorbitol/mannitol transport system substrate-binding protein	Sorbitol/mannitol transport	ag	Stressors	Sugar Compatible Solutes (Sorbitol / Mannitol)		
K10228	smoF; sorbitol/mannitol transport system permease protein	Sorbitol/mannitol transport	ag	Stressors	Sugar Compatible Solutes (Sorbitol / Mannitol)		
K10229	sorbitol/mannitol transport system permease protein	Sorbitol/mannitol transport	ag	Stressors	Sugar Compatible Solutes (Sorbitol / Mannitol)		
K10230	sorbitol/mannitol transport system ATP-binding protein	Sorbitol/mannitol transport	ag	Stressors	Sugar Compatible Solutes (Sorbitol / Mannitol)		
K03782	katG [EC:1.11.1.21]	Catalase–peroxidase	ag	Stressors			
K04564	sodA [EC:1.15.1.1]	Superoxide dismutase (Mn-dependent)	ag	Stressors			
K04565	sodB [EC:1.15.1.1]	Superoxide dismutase (Fe-dependent)	ag	Stressors			
K01920	gshA [EC:6.3.2.2]	Glutamate–cysteine ligase (first step in glutathione biosynthesis)	ag	Stressors			
K01921	gshB [EC:6.3.2.3]	Glutathione synthase (second step in glutathione biosynthesis)	ag	Stressors			
K05909	mco [EC:1.10.3.2]	Multicopper oxidase (laccase; oxidizes phenolics, triazines, and aromatics)	ag	Stressors			
K00421	lcc [EC:1.10.3.2]	Laccase (multicopper oxidase; lignin and aromatic oxidation)	ag	Stressors			
K05910	npr [EC:1.11.1.1]	NADH peroxidase (reduces hydrogen peroxide via NADH)	ag	Stressors			
K00431	lip [EC:1.11.1.14]	Lignin peroxidase (oxidizes lignin and aromatic compounds via H₂O₂)	ag	Stressors			
K00799	gst [EC:2.5.1.18]	Glutathione S-transferase (conjugates glutathione to xenobiotics for detoxification)	ag	Stressors			
K00697	otsA [EC:2.4.1.15]	Trehalose-6-phosphate synthase (trehalose biosynthesis)	ag	Stressors			
K01087	otsB [EC:3.1.3.12]	Trehalose-6-phosphate phosphatase (trehalose biosynthesis)	ag	Stressors			
K00147	proA [EC:1.2.1.41]	γ-Glutamyl phosphate reductase (proline biosynthesis)	ag	Stressors			
K00931	proB [EC:2.7.2.11]	Glutamate 5-kinase (proline biosynthesis)	ag	Stressors			
K00286	proC [EC:1.5.1.2]	Pyrroline-5-carboxylate reductase (proline biosynthesis)	ag	Stressors			
K00006	gpd1 [EC:1.1.1.8]	Glycerol-3-phosphate dehydrogenase (NAD⁺-dependent)	ag	Stressors			
K00111	gpd2 [EC:1.1.5.3]	Glycerol-3-phosphate dehydrogenase (quinone-dependent)	ag	Stressors			
K00108	betA [EC:1.1.99.1]	Choline dehydrogenase (glycine betaine biosynthesis)	ag	Stressors			
K00130	betB [EC:1.2.1.8]	Betaine aldehyde dehydrogenase (glycine betaine biosynthesis)	ag	Stressors			
K16566	exoY	Exopolysaccharide production protein ExoY (succinoglycan)	ag	Stressors	Exopolysaccharide Production		
K16557	exoA	Succinoglycan biosynthesis glycosyltransferase	ag	Stressors	Exopolysaccharide Production		
K16556	exoM	Succinoglycan biosynthesis mannosyltransferase	ag	Stressors	Exopolysaccharide Production		
K16555	exoO	Succinoglycan biosynthesis protein	ag	Stressors	Exopolysaccharide Production		
K19290	alg8	Mannuronan synthase (alginate biosynthesis)	ag	Stressors	Exopolysaccharide Production		
K19291	alg44	Mannuronan polymer co-polymerase (alginate biosynthesis)	ag	Stressors	Exopolysaccharide Production		
K19293	algX	Alginate biosynthesis protein	ag	Stressors	Exopolysaccharide Production		
K19295	algJ	Alginate O-acetyltransferase complex protein	ag	Stressors	Exopolysaccharide Production		
K20997	pslA	Psl polysaccharide biosynthesis protein	ag	Stressors	Exopolysaccharide Production		
K21001	pslH	Psl polysaccharide biosynthesis protein	ag	Stressors	Exopolysaccharide Production		
K21154	pssM	Exopolysaccharide glucosyl ketal-pyruvate-transferase	ag	Stressors	Exopolysaccharide Production		
K25902	pssA	Acidic exopolysaccharide biosynthesis protein	ag	Stressors	Exopolysaccharide Production		
K25904	pssE	Exopolysaccharide biosynthesis glucuronosyltransferase	ag	Stressors	Exopolysaccharide Production		
K25906	pssS	Exopolysaccharide biosynthesis glucosyltransferase	ag	Stressors	Exopolysaccharide Production		
K19290	alg8	Mannuronan synthase (alginate biosynthesis)	ag	Stressors	Biofilm Formation		
K19291	alg44	Mannuronan co-polymerase (alginate biosynthesis)	ag	Stressors	Biofilm Formation		
K19293	algX	Alginate biosynthesis protein AlgX	ag	Stressors	Biofilm Formation		
K19294	algI	Alginate O-acetyltransferase complex protein AlgI	ag	Stressors	Biofilm Formation		
K19295	algJ	Alginate O-acetyltransferase complex protein AlgJ	ag	Stressors	Biofilm Formation		
K19296	algF	Alginate O-acetyltransferase complex protein AlgF	ag	Stressors	Biofilm Formation		
K11936	pgaC / icaA	Poly-β-1,6-N-acetyl-D-glucosamine synthase (PGA/ICA matrix)	ag	Stressors	Biofilm Formation		
K11937	pgaD	Biofilm PGA synthesis protein	ag	Stressors	Biofilm Formation		
K21001	pslH	Psl polysaccharide biosynthesis protein	ag	Stressors	Biofilm Formation		
K20997	pslA	Psl polysaccharide biosynthesis protein	ag	Stressors	Biofilm Formation		
K25205	pslC	Psl polysaccharide biosynthesis protein	ag	Stressors	Biofilm Formation		
K21461	icaD	Poly-β-1,6-N-acetyl-D-glucosamine synthesis protein	ag	Stressors	Biofilm Formation		
K01045	opd/mpd/pah/ophC2 [EC:3.1.8.1]	Carbamates	ag	Stressors	Pesticides		
K14449	mcd [EC:3.1.1.88]	Carbamates	ag	Stressors	Pesticides		
K25604	cehA [EC:3.5.1.137]	Triazines	ag	Stressors	Pesticides		
K05394 	atzA [EC:3.8.1.8]	Triazines	ag	Stressors	Pesticides		
K03382	atzB [EC:3.5.99.3]	Triazines	ag	Stressors	Pesticides		
K08710	atzC [EC:3.5.99.4]	Triazines	ag	Stressors	Pesticides		
K05394	trzN [EC:3.8.1.8]	Organochlorines	ag	Stressors	Pesticides		
K15236 	linA [EC:4.5.1.-]	Organochlorines	ag	Stressors	Pesticides		
K01563	linB [EC:3.8.1.5]	Organochlorines	ag	Stressors	Pesticides		
K15237	"linC [EC:1.3.1.-]	"	Phenoxy herbicides	ag	Stressors	Pesticides		
K06912	tfdA [EC:1.14.11.-]	Phenoxy herbicides	ag	Stressors	Pesticides		
K08719	tfdB [EC:1.14.13.2]	Pyrethroids	ag	Stressors	Pesticides		
K08722	tfdF  [EC:5.5.1.5]	Pyrethroids	ag	Stressors	Pesticides		
K20992	pytH [EC:3.1.1.-]	Pyrethroids	ag	Stressors	Pesticides		
K20993	estP [EC:3.1.1.88]	Glyphosate	ag	Stressors	Pesticides		
K17842	gox [EC:1.13.11.59]	Glyphosate	ag	Stressors	Pesticides		
K23996	phnY [EC:1.14.11.71]	Methylphosphonate hydroxylase (oxidizes methylphosphonate to phosphate intermediates)	ag	Stressors	Pesticides		
K06164	phnI [EC:2.7.8.37]	Alpha-D-ribose-1-methylphosphonate-5-triphosphate synthase subunit (C–P lyase complex)	ag	Stressors	Pesticides		
K06165	phnH [EC:2.7.8.37]	Alpha-D-ribose-1-methylphosphonate-5-triphosphate synthase subunit (C–P lyase complex)	ag	Stressors	Pesticides		
K06166	phnG [EC:2.7.8.37]	Alpha-D-ribose-1-methylphosphonate-5-triphosphate synthase subunit (C–P lyase complex)	ag	Stressors	Pesticides		
K05780	phnL [EC:2.7.8.37]	Alpha-D-ribose-1-methylphosphonate-5-triphosphate synthase subunit (C–P lyase complex)	ag	Stressors	Pesticides		
K06162	phnM [EC:3.6.1.63]	Alpha-D-ribose-1-methylphosphonate-5-triphosphate diphosphatase (hydrolyzes phosphonate intermediates)	ag	Stressors	Pesticides		
K06163	phnJ [EC:4.7.1.1]	C–P lyase catalytic subunit (cleaves C–P bond in phosphonates including glyphosate)	ag	Stressors	Pesticides		
K06167	phnP [EC:3.1.4.55]	Phosphoribosyl-1,2-cyclic phosphate phosphodiesterase (final phosphonate degradation step)	ag	Stressors	Pesticides		
K01560 	Haloacid dehalogenases [EC:3.8.1.2]	Broad (various pesticides)	ag	Stressors	Pesticides		
K03930	estA [EC:3.1.1.1]	Carboxylesterase (broad-spectrum hydrolase acting on xenobiotic organoesters and pesticides)	ag	Stressors	Pesticides		
K00163	pyruvate dehydrogenase E1 component [EC:1.2.4.1]	pyruvate → acetyl-CoA v1	ag	Carbon Processing	SCFA and alcohol conversions		
K00174	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3, 1.2.7.11]	pyruvate → acetyl-CoA v2	ag	Carbon Processing	SCFA and alcohol conversions		
K00656	formate C-acetyltransferase [EC:2.3.1.54]	pyruvate → acetyl-CoA + formate v3	ag	Carbon Processing	SCFA and alcohol conversions		
K00625	phosphate acetyltransferase [EC:2.3.1.8] [RN:R00230]	acetate, pt 1	ag	Carbon Processing	SCFA and alcohol conversions		
K00925	acetate kinase [EC:2.7.2.1] [RN:R00315]	acetate, pt 1	ag	Carbon Processing	SCFA and alcohol conversions		
K01905	acetate-CoA ligase (ADP-forming) subunit alpha	acetate, pt 2	ag	Carbon Processing	SCFA and alcohol conversions		
K01067	acetyl-CoA hydrolase [EC:3.1.2.1]	acetate, pt 3	ag	Carbon Processing	SCFA and alcohol conversions		
K00016	L-lactate dehydrogenase [EC:1.1.1.27]	lactate (L)	ag	Carbon Processing	SCFA and alcohol conversions		
K00101	L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]	lactate (L)	ag	Carbon Processing	SCFA and alcohol conversions		
K03778	D-lactate dehydrogenase [EC:1.1.1.28]	lactate (D)	ag	Carbon Processing	SCFA and alcohol conversions		
K03777	D-lactate dehydrogenase (quinone/cytochrome variants) [EC:1.1.5.12, EC:1.1.2.4]	lactate (D)	ag	Carbon Processing	SCFA and alcohol conversions		
K00634	phosphate butyryltransferase [EC:2.3.1.19]	butyrate, pt 1	ag	Carbon Processing	SCFA and alcohol conversions		
K00929	butyrate kinase [EC:2.7.2.7]	butyrate, pt 2	ag	Carbon Processing	SCFA and alcohol conversions		
K01896	medium-chain acyl-CoA synthetase [EC:6.2.1.2]	butyrate, pt 2	ag	Carbon Processing	SCFA and alcohol conversions		
K19697	propionate kinase [EC:2.7.2.15]	propionate, pt 1	ag	Carbon Processing	SCFA and alcohol conversions		
K01026	propionate CoA-transferase [EC:2.8.3.1]	propionate, pt 2	ag	Carbon Processing	SCFA and alcohol conversions		
K00001	alcohol dehydrogenase [EC:1.1.1.1]	alcohol production	ag	Carbon Processing	SCFA and alcohol conversions		
K00121	alcohol dehydrogenase [EC:1.1.1.1]	alcohol production	ag	Carbon Processing	SCFA and alcohol conversions		
K04072	alcohol dehydrogenase [EC:1.1.1.1]	alcohol production	ag	Carbon Processing	SCFA and alcohol conversions		
K13951	alcohol dehydrogenase [EC:1.1.1.1]	alcohol production	ag	Carbon Processing	SCFA and alcohol conversions		
K13952	alcohol dehydrogenase [EC:1.1.1.1]	alcohol production	ag	Carbon Processing	SCFA and alcohol conversions		
K13953	alcohol dehydrogenase [EC:1.1.1.1]	alcohol production	ag	Carbon Processing	SCFA and alcohol conversions		
K13954	alcohol dehydrogenase [EC:1.1.1.1]	alcohol production	ag	Carbon Processing	SCFA and alcohol conversions		
K13980	alcohol dehydrogenase [EC:1.1.1.1]	alcohol production	ag	Carbon Processing	SCFA and alcohol conversions		
K18857	alcohol dehydrogenase [EC:1.1.1.1]	alcohol production	ag	Carbon Processing	SCFA and alcohol conversions		
K00192	cdhA; anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha [EC:1.2.7.4] [RN:R07157]	Acetyl-CoA pathway, CO2 => acetyl-CoA	ag	Carbon Processing	CO2 Fixation		
K00195	cdhB; anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit epsilon [RN:R07157]	Acetyl-CoA pathway, CO2 => acetyl-CoA	ag	Carbon Processing	CO2 Fixation		
K00193	cdhC; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta [EC:2.3.1.169] [RN:R09096 R10219]	Acetyl-CoA pathway, CO2 => acetyl-CoA	ag	Carbon Processing	CO2 Fixation		
K00197	cdhE; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma [EC:2.1.1.245] [RN:R09096 R10219]	Acetyl-CoA pathway, CO2 => acetyl-CoA	ag	Carbon Processing	CO2 Fixation		
K00194	cdhD; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245] [RN:R09096 R10219]	Acetyl-CoA pathway, CO2 => acetyl-CoA	ag	Carbon Processing	CO2 Fixation		
K10944	particulate methane monooxygenase subunit A (pmoA) [EC:1.14.18.3]	Methane oxidation = methane => methanol	ag	Carbon Processing	CH4 oxidation		
K10945	particulate methane monooxygenase subunit B (pmoB) [EC:1.14.18.3]	Methane oxidation = methane => methanol	ag	Carbon Processing	CH4 oxidation		
K10946	particulate methane monooxygenase subunit C (pmoC) [EC:1.14.18.3]	Methane oxidation = methane => methanol	ag	Carbon Processing	CH4 oxidation		
K16157	soluble methane monooxygenase hydroxylase alpha subunit (mmoX) [EC:1.14.13.25]	Methane oxidation = methane => methanol	ag	Carbon Processing	CH4 oxidation		
K16158	soluble methane monooxygenase hydroxylase beta subunit (mmoY) [EC:1.14.13.25]	Methane oxidation = methane => methanol	ag	Carbon Processing	CH4 oxidation		
K16159	soluble methane monooxygenase hydroxylase gamma subunit (mmoZ) [EC:1.14.13.25]	Methane oxidation = methane => methanol	ag	Carbon Processing	CH4 oxidation		
K16160	soluble methane monooxygenase component B (mmoB) [EC:1.14.13.25]	Methane oxidation = methane => methanol	ag	Carbon Processing	CH4 oxidation		
K16161	soluble methane monooxygenase reductase component (mmoC) [EC:1.14.13.25]	Methane oxidation = methane => methanol	ag	Carbon Processing	CH4 oxidation		
K16162	soluble methane monooxygenase regulatory protein (mmoD) [EC:1.14.13.25]	Methane oxidation = methane => methanol	ag	Carbon Processing	CH4 oxidation		
GH94	GH94 cellobiose phosphorylase (EC 2.4.1.20); laminaribiose phosphorylase (EC 2.4.1.31); cellodextrin phosphorylase (EC 2.4.1.49); chitobiose phosphorylase (EC 2.4.1.-); cyclic beta-1,2-glucan synthase (EC 2.4.1.-); cellobionic acid phosphorylase (EC 2.4.1.321); beta-1,2-oligoglucan phosphorylase (EC 2.4.1.-)	Glycoside Hydrolases	ag	Carbon Processing	Cellulose degradation	CAZY	
GH1	GH1 beta-glucosidase (EC 3.2.1.21); beta-galactosidase (EC 3.2.1.23); beta-mannosidase (EC 3.2.1.25); beta-glucuronidase (EC 3.2.1.31); beta-xylosidase (EC 3.2.1.37); beta-D-fucosidase (EC 3.2.1.38); phlorizin hydrolase (EC 3.2.1.62); exo-beta-1,4-glucanase (EC 3.2.1.74); 6-phospho-beta-galactosidase (EC 3.2.1.85); 6-phospho-beta-glucosidase (EC 3.2.1.86); strictosidine beta-glucosidase (EC 3.2.1.105); lactase (EC 3.2.1.108); amygdalin beta-glucosidase (EC 3.2.1.117); prunasin beta-glucosidase (EC 3.2.1.118); vicianin hydrolase (EC 3.2.1.119); raucaffricine beta-glucosidase (EC 3.2.1.125); thioglucosidase (EC 3.2.1.147); beta-primeverosidase (EC 3.2.1.149); isoflavonoid 7-O-beta-apiosyl-beta-glucosidase (EC 3.2.1.161); ABA-specific beta-glucosidase (EC 3.2.1.175); DIMBOA beta-glucosidase (EC 3.2.1.182); beta-glycosidase (EC 3.2.1.-); hydroxyisourate hydrolase (EC 3.-.-.-)	Glycoside Hydrolases	ag	Carbon Processing	Cellulose degradation	CAZY	
GH2	GH2 beta-galactosidase (EC 3.2.1.23) ; beta-mannosidase (EC 3.2.1.25); beta-glucuronidase (EC 3.2.1.31); alpha-L-arabinofuranosidase (EC 3.2.1.55); mannosylglycoprotein endo-beta-mannosidase (EC 3.2.1.152); exo-beta-glucosaminidase (EC 3.2.1.165); alpha-L-arabinopyranosidase (EC 3.2.1.-); beta-galacturonidase (EC 3.2.1.-); beta-xylosidase (EC 3.2.1.37); beta-D-galactofuranosidase (EC 3.2.1.146);	Glycoside Hydrolases	ag	Carbon Processing	Cellulose degradation	CAZY	
GH3	GH3 beta-glucosidase (EC 3.2.1.21); xylan 1,4-beta-xylosidase (EC 3.2.1.37); beta-glucosylceramidase (EC 3.2.1.45); beta-N-acetylhexosaminidase (EC 3.2.1.52); alpha-L-arabinofuranosidase (EC 3.2.1.55); glucan 1,3-beta-glucosidase (EC 3.2.1.58); glucan 1,4-beta-glucosidase (EC 3.2.1.74); isoprimeverose-producing oligoxyloglucan hydrolase (EC 3.2.1.120); coniferin beta-glucosidase (EC 3.2.1.126); exo-1,3-1,4-glucanase (EC 3.2.1.-); beta-N-acetylglucosaminide phosphorylases (EC 2.4.1.-)	Glycoside Hydrolases	ag	Carbon Processing	Cellulose degradation	CAZY	
