gene_id	gene_description	pathway	topic_ecosystem	category	subcategory
GH129	GH129 alpha-N-acetylgalactosaminidase (EC 3.2.1.49);	Glycoside Hydrolases	ag	CAZY	Mucin Oligo Cleavage
GH28	GH28 polygalacturonase (EC 3.2.1.15); alpha-L-rhamnosidase (EC 3.2.1.40); exo-polygalacturonase (EC 3.2.1.67); exo-polygalacturonosidase (EC 3.2.1.82); rhamnogalacturonase (EC 3.2.1.171); rhamnogalacturonan alpha-1,2-galacturonohydrolase (EC 3.2.1.173); endo-xylogalacturonan hydrolase (EC 3.2.1.-)	Glycoside Hydrolases	ag	CAZY	Pectin Backbone Cleavage
PL1	PL1 pectate lyase (EC 4.2.2.2); exo-pectate lyase (EC 4.2.2.9); pectin lyase (EC 4.2.2.10).	Polysaccharide Lyases	ag	CAZY	Pectin Backbone Cleavage
PL10	PL10 pectate lyase (EC 4.2.2.2)	Polysaccharide Lyases	ag	CAZY	Pectin Backbone Cleavage
PL11	PL11 rhamnogalacturonan endolyase (EC 4.2.2.23); rhamnogalacturonan exolyase (EC 4.2.2.24)	Polysaccharide Lyases	ag	CAZY	Pectin Backbone Cleavage
PL2	PL2 pectate lyase (EC 4.2.2.2); exo-polygalacturonate lyase (EC 4.2.2.9).	Polysaccharide Lyases	ag	CAZY	Pectin Backbone Cleavage
PL22	PL22 oligogalacturonate lyase / oligogalacturonide lyase (EC 4.2.2.6)	Polysaccharide Lyases	ag	CAZY	Pectin Backbone Cleavage
PL26	PL26 rhamnogalacturonan exolyase (EC 4.2.2.24).	Polysaccharide Lyases	ag	CAZY	Pectin Backbone Cleavage
PL3	PL3 pectate lyase (EC 4.2.2.2).	Polysaccharide Lyases	ag	CAZY	Pectin Backbone Cleavage
PL4	PL4 rhamnogalacturonan endolyase (EC 4.2.2.23).	Polysaccharide Lyases	ag	CAZY	Pectin Backbone Cleavage
PL9	PL9 pectate lyase (EC 4.2.2.2); exopolygalacturonate lyase (EC 4.2.2.9); thiopeptidoglycan lyase (EC 4.2.2.-).	Polysaccharide Lyases	ag	CAZY	Pectin Backbone Cleavage
CE12	CE12 pectin acetylesterase (EC 3.1.1.-); rhamnogalacturonan acetylesterase (EC 3.1.1.-); acetyl xylan esterase (EC 3.1.1.72)	Carbohydrate Esterases	ag	CAZY	Pectin Oligo Cleavage
CE8	CE8 pectin methylesterase (EC 3.1.1.11).	Carbohydrate Esterases	ag	CAZY	Pectin Oligo Cleavage
GH105	GH105 unsaturated rhamnogalacturonyl hydrolase (EC 3.2.1.172); d-4,5-unsaturated beta-glucuronyl hydrolase (EC 3.2.1.-); d-4,5-unsaturated alpha-galacturonidase (EC 3.2.1.-)	Glycoside Hydrolases	ag	CAZY	Pectin Oligo Cleavage
GH138	GH138 alpha-galacturonidase (EC 3.2.1.-)	Glycoside Hydrolases	ag	CAZY	Pectin Oligo Cleavage
GH143	GH143 2-keto-3-deoxy-D-lyxo-heptulosaric acid hydrolase (EC 3.2.1.-)	Glycoside Hydrolases	ag	CAZY	Pectin Oligo Cleavage
GH4	GH4 maltose-6-phosphate glucosidase (EC 3.2.1.122); alpha-glucosidase (EC 3.2.1.20); alpha-galactosidase (EC 3.2.1.22); 6-phospho-beta-glucosidase (EC 3.2.1.86); alpha-glucuronidase (EC 3.2.1.139); alpha-galacturonase (EC 3.2.1.67); palatinase (EC 3.2.1.-)	Glycoside Hydrolases	ag	CAZY	Pectin Oligo Cleavage, Alpha-galactans Oligo Cleavage
GH139	GH139 alpha-2-O-Me-L-fucosidase (EC 3.2.1.-)	Glycoside Hydrolases	ag	CAZY	Pectin Oligo Cleavage, Fucose Oligo Cleavage
GH106	GH106 alpha-L-rhamnosidase (EC 3.2.1.40); rhamnogalacturonan alpha-L-rhamnohydrolase (EC 3.2.1.174)	Glycoside Hydrolases	ag	CAZY	Pectin Oligo Cleavage, Rhamnose Oligo cleavage
GH78	GH78 alpha-L-rhamnosidase (EC 3.2.1.40); rhamnogalacturonan alpha-L-rhamnohydrolase (EC 3.2.1.174); L-Rhap-alpha-1,3-D-Apif -specific alpha-1,3-L-rhamnosidase (EC 3.2.1.-)	Glycoside Hydrolases	ag	CAZY	Pectin Oligo Cleavage, Rhamnose Oligo cleavage
AA1	AA1 Laccase / p-diphenol:oxygen oxidoreductase / ferroxidase (EC 1.10.3.2); ; ferroxidase (EC 1.10.3.-); Laccase-like multicopper oxidase (EC 1.10.3.-)	Auxiliary Activities	ag	CAZY	Polyphenolics Cleavage
AA2	AA2 manganese peroxidase (EC 1.11.1.13); versatile peroxidase (EC 1.11.1.16); lignin peroxidase (EC 1.11.1.14); peroxidase (EC 1.11.1.-)	Auxiliary Activities	ag	CAZY	Polyphenolics Cleavage
AA4	AA4 vanillyl-alcohol oxidase (EC 1.1.3.38)	Auxiliary Activities	ag	CAZY	Polyphenolics Cleavage
GH145	GH145 L-Rhalpha-alpha-1,4-GlcA alpha-L-rhamnohydrolase (EC 3.2.1.-)	Glycoside Hydrolases	ag	CAZY	Rhamnose Oligo cleavage
PL27	PL27 L-rhamnose-alpha-1,4-D-glucuronate lyase (EC 4.2.2.-)	Polysaccharide Lyases	ag	CAZY	Rhamnose Oligo cleavage
PL28	PL28 ulvan lyase (EC 4.2.2.-)	Polysaccharide Lyases	ag	CAZY	Rhamnose Oligo cleavage
GH119	GH119 alpha-amylase (EC 3.2.1.1)	Glycoside Hydrolases	ag	CAZY	Starch Backbone Cleavage
GH126	GH126 alpha-amylase (EC 3.2.1.-)	Glycoside Hydrolases	ag	CAZY	Starch Backbone Cleavage
GH13	GH13 alpha-amylase (EC 3.2.1.1); pullulanase (EC 3.2.1.41); cyclomaltodextrin glucanotransferase (EC 2.4.1.19); cyclomaltodextrinase (EC 3.2.1.54); trehalose-6-phosphate hydrolase (EC 3.2.1.93); oligo-alpha-glucosidase (EC 3.2.1.10); maltogenic amylase (EC 3.2.1.133); neopullulanase (EC 3.2.1.135); alpha-glucosidase (EC 3.2.1.20); maltotetraose-forming alpha-amylase (EC 3.2.1.60); isoamylase (EC 3.2.1.68); glucodextranase (EC 3.2.1.70); maltohexaose-forming alpha-amylase (EC 3.2.1.98); maltotriose-forming alpha-amylase (EC 3.2.1.116); branching enzyme (EC 2.4.1.18); trehalose synthase (EC 5.4.99.16); 4-alpha-glucanotransferase (EC 2.4.1.25); maltopentaose-forming alpha-amylase (EC 3.2.1.-) ; amylosucrase (EC 2.4.1.4) ; sucrose phosphorylase (EC 2.4.1.7); malto-oligosyltrehalose trehalohydrolase (EC 3.2.1.141); isomaltulose synthase (EC 5.4.99.11); malto-oligosyltrehalose synthase (EC 5.4.99.15); amylo-alpha-1,6-glucosidase (EC 3.2.1.33); alpha-1,4-glucan: phosphate alpha-maltosyltransferase (EC 2.4.99.16); 6'-P-sucrose phosphorylase (EC 2.4.1.-); amino acid transporter	Glycoside Hydrolases	ag	CAZY	Starch Backbone Cleavage
GH14	GH14 beta-amylase (EC 3.2.1.2)	Glycoside Hydrolases	ag	CAZY	Starch Backbone Cleavage
GH57	GH57 alpha-amylase (EC 3.2.1.1); alpha-galactosidase (EC 3.2.1.22); amylopullulanase (EC 3.2.1.41); cyclomaltodextrinase (EC 3.2.1.54); branching enzyme (EC 2.4.1.18); 4-alpha-glucanotransferase (EC 2.4.1.25)	Glycoside Hydrolases	ag	CAZY	Starch Backbone Cleavage
GH133	GH133 amylo-alpha-1,6-glucosidase (EC 3.2.1.33);	Glycoside Hydrolases	ag	CAZY	Starch Oligo Cleavage
GH15	GH15 glucoamylase (EC 3.2.1.3); glucodextranase (EC 3.2.1.70); alpha,alpha-trehalase (EC 3.2.1.28); dextran dextrinase (EC 2.4.1.2)	Glycoside Hydrolases	ag	CAZY	Starch Oligo Cleavage
GH97	GH97 glucoamylase (EC 3.2.1.3); alpha-glucosidase (EC 3.2.1.20); alpha-galactosidase (EC 3.2.1.22)	Glycoside Hydrolases	ag	CAZY	Starch Oligo Cleavage, Alpha-galactans Oligo Cleavage
GH111	GH111 keratan sulfate hydrolase (endo-beta-N-acetylglucosaminidase) (EC 3.2.1.-)	Glycoside Hydrolases	ag	CAZY	Sulf-Polysachharides Backbone Cleavage
GH150	GH150 l-carrageenase (EC 3.2.1.-)	Glycoside Hydrolases	ag	CAZY	Sulf-Polysachharides Backbone Cleavage
GH56	GH56 hyaluronidase (EC 3.2.1.35); chondroitin hydrolase (EC 3.2.1.-)	Glycoside Hydrolases	ag	CAZY	Sulf-Polysachharides Backbone Cleavage
GH79	GH79 beta-glucuronidase (EC 3.2.1.31); hyaluronoglucuronidase (EC 3.2.1.36); heparanase (EC 3.2.1.166); baicalin beta-glucuronidase (EC 3.2.1.167); beta-4-O-methyl-glucuronidase (EC 3.2.1.-)	Glycoside Hydrolases	ag	CAZY	Sulf-Polysachharides Backbone Cleavage
GH82	GH82 Iota;-carrageenase (EC 3.2.1.157)	Glycoside Hydrolases	ag	CAZY	Sulf-Polysachharides Backbone Cleavage
GH86	GH86 beta-agarase (EC 3.2.1.81); beta-porphyranase (EC 3.2.1.178)	Glycoside Hydrolases	ag	CAZY	Sulf-Polysachharides Backbone Cleavage
PL12	PL12 heparin-sulfate lyase (EC 4.2.2.8)	Polysaccharide Lyases	ag	CAZY	Sulf-Polysachharides Backbone Cleavage
PL13	PL13 heparin lyase (EC 4.2.2.7)	Polysaccharide Lyases	ag	CAZY	Sulf-Polysachharides Backbone Cleavage
PL29	PL29 hyaluronate lyase (EC 4.2.2.1); chondroitin-sulfate ABC endolyase (EC 4.2.2.20); dermatan sulfate lyase (4.2.2.-); dermatan sulfate lyase (EC 4.2.2.-)	Polysaccharide Lyases	ag	CAZY	Sulf-Polysachharides Backbone Cleavage
PL30	PL30 hyaluronate lyase (EC 4.2.2.1)	Polysaccharide Lyases	ag	CAZY	Sulf-Polysachharides Backbone Cleavage
PL33	PL33 hyaluronate lyase (EC 4.2.2.1); gellan lyase (EC 4.2.2.25); chondroitin sulfate lyase (EC 4.2.2.20)	Polysaccharide Lyases	ag	CAZY	Sulf-Polysachharides Backbone Cleavage
PL37	PL37 chondroitin-sulfate ABC endolyase (EC 4.2.2.20); heparin-sulfate lyase / heparin lyase III (EC 4.2.2.8); ulvan lyase (EC 4.2.2.-)	Polysaccharide Lyases	ag	CAZY	Sulf-Polysachharides Backbone Cleavage
PL8	PL8 hyaluronate lyase (EC 4.2.2.1); chondroitin AC lyase (EC 4.2.2.5); xanthan lyase (EC 4.2.2.12); chondroitin ABC lyase (EC 4.2.2.20)	Polysaccharide Lyases	ag	CAZY	Sulf-Polysachharides Backbone Cleavage
PL15	PL15 oligo-alginate lyase (EC 4.2.2.-); alginate lyase (EC 4.2.2.3)	Polysaccharide Lyases	ag	CAZY	Sulf-Polysachharides Backbone Cleavage, Sulf-Polysachharides Oligo Cleavage
PL21	PL21 heparin lyase (EC 4.2.2.7); heparin-sulfate lyase (EC 4.2.2.8); acharan-sulfate lyase (EC 4.2.2.-)	Polysaccharide Lyases	ag	CAZY	Sulf-Polysachharides Backbone Cleavage, Sulf-Polysachharides Oligo Cleavage
PL6	PL6 alginate lyase (EC 4.2.2.3); chondroitinase B (EC 4.2.2.19); MG-specific alginate lyase (EC 4.2.2.-); poly(alpha-L-guluronate) lyase / G-specific alginate lyase (EC 4.2.2.11);	Polysaccharide Lyases	ag	CAZY	Sulf-Polysachharides Backbone Cleavage, Sulf-Polysachharides Oligo Cleavage
GH117	GH117 alpha-1,3-L-neoagarooligosaccharide hydrolase (EC 3.2.1.-); alpha-1,3-L-neoagarobiase / neoagarobiose hydrolase (EC 3.2.1.-)	Glycoside Hydrolases	ag	CAZY	Sulf-Polysachharides Oligo Cleavage
GH88	GH88 d-4,5-unsaturated beta-glucuronyl hydrolase (EC 3.2.1.-)	Glycoside Hydrolases	ag	CAZY	Sulf-Polysachharides Oligo Cleavage
PL23	PL23 chondroitin lyase (EC 4.2.2.-);	Polysaccharide Lyases	ag	CAZY	Sulf-Polysachharides Oligo Cleavage
PL24	PL24 ulvan lyase (EC 4.2.2.-).	Polysaccharide Lyases	ag	CAZY	Sulf-Polysachharides Oligo Cleavage, Rhamnose Oligo cleavage
PL25	PL25 ulvan lyase (EC 4.2.2.-).	Polysaccharide Lyases	ag	CAZY	Sulf-Polysachharides Oligo Cleavage, Rhamnose Oligo cleavage
GH11	GH11 endo-beta-1,4-xylanase (EC 3.2.1.8); endo-beta-1,3-xylanase (EC 3.2.1.32)	Glycoside Hydrolases	ag	CAZY	Xylan Backbone Cleavage (Hemicellulose)
GH98	GH98 blood-group endo-beta-1,4-galactosidase (EC 3.2.1.102); blood group A- and B-cleaving endo-beta-1,4-galactosidase (EC 3.2.1.-); endo-beta-1,4-xylanase (EC 3.2.1.8); endo-beta-1,4-xylanase (EC 3.2.1.8)	Glycoside Hydrolases	ag	CAZY	Xylan Backbone Cleavage (Hemicellulose)
GH26	GH26 beta-mannanase (EC 3.2.1.78); exo-beta-1,4-mannobiohydrolase (EC 3.2.1.100); beta-1,3-xylanase (EC 3.2.1.32); lichenase / endo-beta-1,3-1,4-glucanase (EC 3.2.1.73); mannobiose-producing exo-beta-mannanase (EC 3.2.1.-)	Glycoside Hydrolases	ag	CAZY	Xylan Backbone Cleavage (Hemicellulose), Beta-mannan Backbone Cleavage (Hemicellulose), Beta-mannan Oligo Cleavage (Hemicellulose)
GH141	GH141 alpha-L-fucosidase (EC 3.2.1.51); xylanase (EC 3.2.1.8)	Glycoside Hydrolases	ag	CAZY	Xylan Backbone Cleavage (Hemicellulose), Fucose Oligo Cleavage
GH30	GH30 endo-beta-1,4-xylanase (EC 3.2.1.8); beta-glucosidase (3.2.1.21); beta-glucuronidase (EC 3.2.1.31); beta-xylosidase (EC 3.2.1.37); beta-fucosidase (EC 3.2.1.38); glucosylceramidase (EC 3.2.1.45); beta-1,6-glucanase (EC 3.2.1.75); glucuronoarabinoxylan endo-beta-1,4-xylanase (EC 3.2.1.136); endo-beta-1,6-galactanase (EC:3.2.1.164); [reducing end] beta-xylosidase (EC 3.2.1.-)	Glycoside Hydrolases	ag	CAZY	Xylan Backbone Cleavage (Hemicellulose), Mixed-Linkage glucans Backbone Cleavage (Hemicellulose)
GH115	GH115 xylan alpha-1,2-glucuronidase (3.2.1.131); alpha-(4-O-methyl)-glucuronidase (3.2.1.-)	Glycoside Hydrolases	ag	CAZY	Xylan Oligo Cleavage (Hemicellulose)
GH120	GH120 beta-xylosidase (EC 3.2.1.37)	Glycoside Hydrolases	ag	CAZY	Xylan Oligo Cleavage (Hemicellulose)
GH39	GH39 alpha-L-iduronidase (EC 3.2.1.76); beta-xylosidase (EC 3.2.1.37).	Glycoside Hydrolases	ag	CAZY	Xylan Oligo Cleavage (Hemicellulose)
GH52	GH52 beta-xylosidase (EC 3.2.1.37).	Glycoside Hydrolases	ag	CAZY	Xylan Oligo Cleavage (Hemicellulose)
GH67	GH67 alpha-glucuronidase (EC 3.2.1.139); xylan alpha-1,2-glucuronidase (EC 3.2.1.131)	Glycoside Hydrolases	ag	CAZY	Xylan Oligo Cleavage (Hemicellulose)
GH74	GH74 endoglucanase (EC 3.2.1.4); oligoxyloglucan reducing end-specific cellobiohydrolase (EC 3.2.1.150); xyloglucanase (EC 3.2.1.151)	Glycoside Hydrolases	ag	CAZY	Xyloglucan Backbone Cleavage (Hemicellulose)
GH43	GH43 beta-xylosidase (EC 3.2.1.37); alpha-L-arabinofuranosidase (EC 3.2.1.55); xylanase (EC 3.2.1.8); alpha-1,2-L-arabinofuranosidase (EC 3.2.1.-); exo-alpha-1,5-L-arabinofuranosidase (EC 3.2.1.-); [inverting] exo-alpha-1,5-L-arabinanase (EC 3.2.1.-); beta-1,3-xylosidase (EC 3.2.1.-); [inverting] exo-alpha-1,5-L-arabinanase (EC 3.2.1.-); [inverting] endo-alpha-1,5-L-arabinanase (EC 3.2.1.99); exo-beta-1,3-galactanase (EC 3.2.1.145); beta-D-galactofuranosidase (EC 3.2.1.146)	Glycoside Hydrolases	ag	CAZY	Xyloglucan Oligo Cleavage (Hemicellulose), Arabinan Backbone Cleavage, Arabinan Oligo Cleavage
GH31	GH31 alpha-glucosidase (EC 3.2.1.20); alpha-galactosidase (EC 3.2.1.22); alpha-mannosidase (EC 3.2.1.24); alpha-1,3-glucosidase (EC 3.2.1.84); sucrase-isomaltase (EC 3.2.1.48) (EC 3.2.1.10); alpha-xylosidase (EC 3.2.1.177); alpha-glucan lyase (EC 4.2.2.13); isomaltosyltransferase (EC 2.4.1.-); oligosaccharide alpha-1,4-glucosyltransferase (EC 2.4.1.161); sulfoquinovosidase (EC 3.2.1.-)	Glycoside Hydrolases	ag	CAZY	Xyloglucan Oligo Cleavage (Hemicellulose), Xylan Oligo Cleavage (Hemicellulose), Alpha-galactans Oligo Cleavage, Alpha-galactans Oligo Cleavage, Mucin Oligo Cleavage
AA	Lytic polygalacturonic acid monooxygenase (C4-hydroxylating) (EC 1.14.99.-)	Auxiliary Activities	ag	CAZY	
AA0	AA0	Auxiliary Activities	ag	CAZY	
AA12	AA12 The pyrroloquinoline quinone-dependent oxidoreductase activity was demonstrated for the CC1G_09525 protein of Coprinopsis cinerea.	Auxiliary Activities	ag	CAZY	
AA14	AA14 proteins are copper-dependent lytic polysaccharide monooxygenases (LPMOs); cleavage of xylan with oxidation of C-1 has been demonstrated for two AA14 LPMOs from Trametes coccinea (Pycnoporus coccineus); lytic xylan monooxygenase / xylan oxidase (glycosidic bond-cleaving) (EC 1.-.-.-)	Auxiliary Activities	ag	CAZY	
AA3	AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10)	Auxiliary Activities	ag	CAZY	
AA5	AA5 Oxidase with oxygen as acceptor (EC 1.1.3.-); galactose oxidase (EC 1.1.3.9); glyoxal oxidase (EC 1.2.3.15); alcohol oxidase (EC 1.1.3.13)	Auxiliary Activities	ag	CAZY	
AA6	AA6 1,4-benzoquinone reductase (EC. 1.6.5.6)	Auxiliary Activities	ag	CAZY	
AA7	AA7 glucooligosaccharide oxidase (EC 1.1.3.-); chitooligosaccharide oxidase (EC 1.1.3.-)	Auxiliary Activities	ag	CAZY	
AA8	AA8 Iron reductase domain	Auxiliary Activities	ag	CAZY	
CE0	CE0 See below.	Carbohydrate Esterases	ag	CAZY	
CE1	CE1 acetyl xylan esterase (EC 3.1.1.72); cinnamoyl esterase (EC 3.1.1.-); feruloyl esterase (EC 3.1.1.73); carboxylesterase (EC 3.1.1.1); S-formylglutathione hydrolase (EC 3.1.2.12); diacylglycerol O-acyltransferase (EC 2.3.1.20); trehalose 6-O-mycolyltransferase (EC 2.3.1.122)	Carbohydrate Esterases	ag	CAZY	
CE10	CE10 arylesterase (EC 3.1.1.-); carboxyl esterase (EC 3.1.1.3); acetylcholinesterase (EC 3.1.1.7); cholinesterase (EC 3.1.1.8); sterol esterase (EC 3.1.1.13); brefeldin A esterase (EC 3.1.1.-).	Carbohydrate Esterases	ag	CAZY	
CE11	CE11 UDP-3-0-acyl N-acetylglucosamine deacetylase (EC 3.5.1.108).	Carbohydrate Esterases	ag	CAZY	
CE13	CE13 pectin acetylesterase (EC 3.1.1.-)	Carbohydrate Esterases	ag	CAZY	
CE14	CE14 N-acetyl-1-D-myo-inosityl-2-amino-2-deoxy-alpha-D-glucopyranoside deacetylase (EC 3.5.1.89); diacetylchitobiose deacetylase (EC 3.5.1.-); mycothiol S-conjugate amidase (EC 3.5.1.-)	Carbohydrate Esterases	ag	CAZY	
CE15	CE15 4-O-methyl-glucuronoyl methylesterase (EC 3.1.1.-)	Carbohydrate Esterases	ag	CAZY	
CE16	CE16 acetylesterase (EC 3.1.1.6) active on various carbohydrate acetyl esters	Carbohydrate Esterases	ag	CAZY	
CE18	N-acetylgalactosamine deacetylase (EC 3.5.1.-)	Carbohydrate Esterases	ag	CAZY	
CE19		Carbohydrate Esterases	ag	CAZY	
CE20		Carbohydrate Esterases	ag	CAZY	
CE3	CE3 acetyl xylan esterase (EC 3.1.1.72).	Carbohydrate Esterases	ag	CAZY	
CE5	CE5 acetyl xylan esterase (EC 3.1.1.72); cutinase (EC 3.1.1.74)	Carbohydrate Esterases	ag	CAZY	
CE6	CE6 acetyl xylan esterase (EC 3.1.1.72).	Carbohydrate Esterases	ag	CAZY	
CE7	CE7 acetyl xylan esterase (EC 3.1.1.72); cephalosporin-C deacetylase (EC 3.1.1.41).	Carbohydrate Esterases	ag	CAZY	
CE9	CE9 N-acetylglucosamine 6-phosphate deacetylase (EC 3.5.1.25); N-acetylglucosamine 6-phosphate deacetylase (EC 3.5.1.80)	Carbohydrate Esterases	ag	CAZY	
CBM0	CBM0 Carbohydrate-binding modules not yet assigned to a family.	Carbohydrate-Binding Modules	ag	CAZY	
CBM1	CBM1 Modules of approx. 40 residues found almost exclusively in fungi. The cellulose-binding function has been demonstrated in many cases, and appears to be mediated by three aromatic residues separated by about 10.4 angstrom and which form a flat surface. The only non-fungal occurence of CBM1 is in an algal non-hydrolytic polysaccharide-binding protein which is composed of four repeated CBM1 modules. Binding to chitin has been demonstrated in one case.	Carbohydrate-Binding Modules	ag	CAZY	
CBM10	CBM10 Modules of approx. 50 residues. The cellulose-binding function has been demonstrated in one case.	Carbohydrate-Binding Modules	ag	CAZY	
CBM11	CBM11 Modules of approx. 180-200 residues. The CBM11 of Clotridium thermocellum Cel26A-Cel5E has been shown to bind both beta-1,4-glucan and beta-1,3-1,4-mixed linked glucans.	Carbohydrate-Binding Modules	ag	CAZY	
CBM12	CBM12 Modules of approx. 40-60 residues. The majority of these modules is found among chitinases where the function is chitin-binding. Distantly related to the CBM5 family.	Carbohydrate-Binding Modules	ag	CAZY	
CBM13	CBM13 Modules of approx. 150 residues which always appear as a threefold internal repeat. The only apparent exception to this, xylanase II of Actinomadura sp. FC7 (GenBank U08894), is in fact not completely sequenced. These modules were first identified in several plant lectins such as ricin or agglutinin of Ricinus communis which bind galactose residues. The three-dimensional structure of a plant lectin has been determined and displays a pseudo-threefold symmetry in accord with the observed sequence threefold repeat. These modules have since been found in a number of other proteins of various functions including glycoside hydrolases and glycosyltransferases. While in the plant lectins this module binds mannose, binding to xylan has been demonstrated in the Streptomyces lividans xylanase A and arabinofuranosidase B. Binding to GalNAc has been shown for the corresponding module of GalNAc transferase 4. For the other proteins, the binding specificity of these modules has not been established. The pseudo three-fold symmetry of the CBM13 module has now been confirmed in the 3-D structure of the intact, two-domain, xylanase of Streptomyces olivaceoviridis.	Carbohydrate-Binding Modules	ag	CAZY	
CBM14	CBM14 Modules of approx. 70 residues. The chitin-binding function has been demonstrated in several cases. These modules are found attached to a number of chitinase catalytic domains, but also in non-catalytic proteins either in isolation or as multiple repeats; chitin binding (EC IIa.chitin)	Carbohydrate-Binding Modules	ag	CAZY	
CBM15	CBM15 Binding to xylan and xylooligosaccharides has been demonstrated in the case of Xyn10C of Cellvibrio mixtus.	Carbohydrate-Binding Modules	ag	CAZY	
CBM16	CBM16 Carbohydrate-binding module 16. Binding to cellulose and glucomannan demonstrated [B. Bae et al (2008) J Biol Chem. 283:12415-25 (PMID: 18025086)]	Carbohydrate-Binding Modules	ag	CAZY	
CBM17	CBM17 Modules of approx. 200 residues. Binding to amorphous cellulose, cellooligosaccharides and derivatized cellulose has been demonstrated.	Carbohydrate-Binding Modules	ag	CAZY	
CBM18	CBM18 Modules of approx. 40 residues. The chitin-binding function has been demonstrated in many cases. These modules are found attached to a number of chitinase catalytic domains, but also in non-catalytic proteins either in isolation or as multiple repeats.	Carbohydrate-Binding Modules	ag	CAZY	
CBM19	CBM19 Modules of 60-70 residues with chitin-binding function.	Carbohydrate-Binding Modules	ag	CAZY	
CBM2	CBM2 Modules of approx. 100 residues and which are found in a large number of bacterial enzymes. The cellulose-binding function has been demonstrated in many cases. Several of these modules have been shown to also bind chitin or xylan.	Carbohydrate-Binding Modules	ag	CAZY	
CBM20	CBM20 The granular starch-binding function has been demonstrated in several cases. Interact strongly with cyclodextrins. Often designated as starch-binding domains (SBD).	Carbohydrate-Binding Modules	ag	CAZY	
CBM21	CBM21 Modules of approx. 100 residues. The granular starch-binding function has been demonstrated in one case. Sometimes designated as starch-binding domains (SBD).	Carbohydrate-Binding Modules	ag	CAZY	
CBM22	CBM22 A xylan binding function has been demonstrated in several cases and affinity with mixed beta-1,3/beta-1,4-glucans in one. In several cases a thermostabilizing effect has also been seen.	Carbohydrate-Binding Modules	ag	CAZY	
CBM23	CBM23 Mannan-binding function demonstrated in one case.	Carbohydrate-Binding Modules	ag	CAZY	
CBM24	CBM24 alpha-1,3-glucan (mutan)-binding function demonstrated in two cases (PMID:10636904)	Carbohydrate-Binding Modules	ag	CAZY	
CBM25	CBM25 Starch-binding function demonstrated in one case.	Carbohydrate-Binding Modules	ag	CAZY	
CBM26	CBM26 Starch-binding function demonstrated in two cases.	Carbohydrate-Binding Modules	ag	CAZY	
CBM27	CBM27 Mannan-binding function demonstrated in two cases	Carbohydrate-Binding Modules	ag	CAZY	
CBM28	CBM28 The module from the endo-1,4-glucanase of Bacillus sp. 1139 binds to non-crystalline cellulose, cellooligosaccharides, and beta-(1,3)(1,4)-glucans	Carbohydrate-Binding Modules	ag	CAZY	
CBM29	CBM29 Binding to mannan/glucomannan has been demonstrated.	Carbohydrate-Binding Modules	ag	CAZY	
CBM3	CBM3 Modules of approx. 150 residues found in bacterial enzymes. The cellulose-binding function has been demonstrated in many cases. In one instance binding to chitin has been reported.	Carbohydrate-Binding Modules	ag	CAZY	
CBM30	CBM30 Binding to cellulose has been demonstrated for the N-terminal module of Fibrobacter succinogenes CelF.	Carbohydrate-Binding Modules	ag	CAZY	
CBM31	CBM31 Binding to beta-1,3-xylan has been demonstrated for the C-terminal module of the beta-1,3-xylanase of Alcaligenes sp. XY234.	Carbohydrate-Binding Modules	ag	CAZY	
CBM32	CBM32 Binding to galactose and lactose has been demonstrated for the module of Micromonospora viridifaciens sialidase (PMID: 16239725). Binding to polygalacturonic acid has been shown for a Yersinia member (PMID: 17292916). Binding to LacNAc (beta-D-galactosyl-1,4-beta-D-N-acetylglucosamine) has been shown for an N-acetylglucosaminidase from Clostridium perfingens (PMID: 16990278).	Carbohydrate-Binding Modules	ag	CAZY	
CBM33	CBM33 Copper-dependent lytic polysaccharide monooxygenases now reclassified in family AA10	Carbohydrate-Binding Modules	ag	CAZY	
CBM34	CBM34 Modules of approx. 120 residues. Granular starch-binding function has been demonstrated in the case of Thermoactinomyces vulgaris R-47 ‚àö√©¬¨¬±-amylase 1 (TVAI).	Carbohydrate-Binding Modules	ag	CAZY	
CBM35	CBM35 Modules of approx. 130 residues. A module that is conserved in three Cellvibrio xylan-degrading enzymes binds to xylan and the interaction is calcium dependent, while a module from a Cellvibrio mannanase binds to decorated soluble mannans and mannooligosaccharides. A module in a Phanerochaete chrysosporium galactan 1,3-beta-galactosidase binds to beta-galactan.	Carbohydrate-Binding Modules	ag	CAZY	
CBM36	CBM36 Modules of approx. 120-130 residues displaying structural similarities to CBM6 modules. The only CBM36 currently characterised, that from Paenbacillus polymyxa xylanase 43A, shows calcium-dependent binding of xylans and xylooligosaccharides. X-ray crystallography shows that there is a direct interaction between calcium and ligand.	Carbohydrate-Binding Modules	ag	CAZY	
CBM37	CBM37 Modules of approx. 100 residues, conserved in numerous R. albus polysaccharide-degrading enzymes and other proteins from this bacterium. Several members of CBM37 have been shown to exhibit rather broad binding specificity to xylan, chitin, microcrystalline and phosphoric-acid swollen cellulose, as well as more heterogeneous substrates, such as alfalfa cell walls, banana stem and wheat straw.	Carbohydrate-Binding Modules	ag	CAZY	
